x,y
-35.39930725097656,-526.0858764648438
-35.8421516418457,-530.4793090820312
-36.374427795410156,-535.0579833984375
-36.91563034057617,-539.55029296875
-37.41888427734375,-543.7013549804688
-37.91409683227539,-547.7855224609375
-38.483848571777344,-552.48681640625
-39.07068634033203,-557.3287353515625
-39.64875793457031,-562.0947875976562
-40.144935607910156,-566.9805297851562
-40.414730072021484,-571.3870849609375
-40.48541259765625,-575.0491333007812
-40.38507843017578,-579.3392333984375
-40.048583984375,-582.5678100585938
-39.552738189697266,-585.6009521484375
-38.64456558227539,-588.761962890625
-37.542442321777344,-591.59228515625
-36.40542984008789,-593.9020385742188
-35.10540008544922,-596.3656005859375
-33.94707107543945,-598.5907592773438
-32.92388916015625,-600.5377807617188
-31.463226318359375,-603.0665283203125
-30.064382553100586,-605.4451904296875
-28.82632064819336,-607.537841796875
-27.12606430053711,-610.4095458984375
-25.603073120117188,-612.9828491210938
-24.003183364868164,-615.6873779296875
-22.1048526763916,-618.8787841796875
-20.361595153808594,-621.780517578125
-18.409372329711914,-625.0155029296875
-16.586145401000977,-628.0336303710938
-14.711393356323242,-631.1371459960938
-12.769003868103027,-634.328125
-10.762929916381836,-637.28076171875
-8.481949806213379,-640.2174682617188
-6.5138139724731445,-642.4301147460938
-4.577219009399414,-644.3311767578125
-2.867724895477295,-645.8792724609375
-0.9068988561630249,-647.6160888671875
0.8405686020851135,-649.1578369140625
2.664874792098999,-650.7680053710938
5.068187713623047,-652.8908081054688
7.30950927734375,-654.8719482421875
9.96778392791748,-657.2230224609375
12.412784576416016,-659.3861083984375
14.934378623962402,-661.6177368164062
17.58477020263672,-663.9453125
20.313583374023438,-666.0254516601562
23.578369140625,-668.2415771484375
26.42083168029785,-669.89794921875
29.287748336791992,-671.459228515625
32.27889633178711,-673.0476684570312
35.297977447509766,-674.6094360351562
38.5551872253418,-676.1504516601562
41.446311950683594,-677.467041015625
44.39004135131836,-678.7749633789062
48.05104446411133,-680.2250366210938
51.941688537597656,-681.5299682617188
55.51325607299805,-682.582275390625
59.2774543762207,-683.6199340820312
63.08064270019531,-684.6470336914062
66.96028137207031,-685.6749267578125
71.51310729980469,-686.7846069335938
75.7413101196289,-687.7587890625
80.48090362548828,-688.7279052734375
84.2911605834961,-689.36083984375
87.8539047241211,-689.6849975585938
91.22869110107422,-689.6524658203125
94.39962005615234,-689.2802124023438
97.0355453491211,-688.5762939453125
99.85222625732422,-687.481689453125
102.23403930664062,-686.5795288085938
104.9583969116211,-686.0382080078125
107.72626495361328,-685.7769165039062
110.64359283447266,-685.647705078125
114.09638214111328,-685.4205322265625
116.71826934814453,-685.0977783203125
120.02877807617188,-684.603515625
122.83419799804688,-684.1580810546875
126.48599243164062,-683.5521240234375
130.21060180664062,-682.841064453125
